"area_id","item_id","main_type","mid_type","sub_type","price","price_text","item_state","user_name","user_url","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m17659281629","レディース","靴","ブーツ","14000","¥ 14,000","新品、未使用","断捨離中☆iku","https://www.mercari.com/jp/u/249033548/","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"1","m53242703546","エンタメ・ホビー","CD","K-POP/アジア","3000","¥ 3,000","目立った傷や汚れなし","ぽ。","https://www.mercari.com/jp/u/640514571/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m48815872463","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","パンツ","2200","¥ 2,200","未使用に近い","ゆうちゃん11","https://www.mercari.com/jp/u/978933986/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m35200488122","その他","アンティーク/コレクション","雑貨","5000","¥ 5,000","未使用に近い","Ami","https://www.mercari.com/jp/u/327082871/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m75699285569","レディース","レッグウェア","ストッキング/タイツ","800","¥ 800","新品、未使用","みにおん","https://www.mercari.com/jp/u/521105867/","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"1","m79767611487","その他","食料品","菓子","1200","¥ 1,200","新品、未使用","きむ","https://www.mercari.com/jp/u/576806816/","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m70166533632","レディース","トップス","ニット/セーター","1200","¥ 1,200","新品、未使用","マロン♥️プロフ必読願います","https://www.mercari.com/jp/u/693278680/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m75624510775","エンタメ・ホビー","DVD/ブルーレイ","ミュージック","1600","¥ 1,600","目立った傷や汚れなし","polca","https://www.mercari.com/jp/u/504320479/","送料込み(出品者負担)","未定","4~7日で発送",
"1","m13419764053","コスメ・香水・美容","ボディケア","ハンドクリーム","2000","¥ 2,000","新品、未使用","ママ二★断捨離中★","https://www.mercari.com/jp/u/114812514/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m61079220278","レディース","ルームウェア/パジャマ","ルームウェア","1500","¥ 1,500","目立った傷や汚れなし","8co.","https://www.mercari.com/jp/u/857747568/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m97660012180","レディース","トップス","カーディガン/ボレロ","600","¥ 600","目立った傷や汚れなし","初心者屋","https://www.mercari.com/jp/u/250688320/","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
"1","m87295098309","コスメ・香水・美容","スキンケア/基礎化粧品","化粧水/ローション","3500","¥ 3,500","新品、未使用","m","https://www.mercari.com/jp/u/178390517/","送料込み(出品者負担)","レターパック","4~7日で発送",
"1","m38017896395","家電・スマホ・カメラ","美容/健康","ヘアドライヤー","2000","¥ 2,000","新品、未使用","ほんちゃん","https://www.mercari.com/jp/u/152383612/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m91269019522","レディース","パンツ","デニム/ジーンズ","1700","¥ 1,700","目立った傷や汚れなし","RhuRhuStore","https://www.mercari.com/jp/u/835447232/","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m29038340557","コスメ・香水・美容","ベースメーク/化粧品","つけまつげ","777","¥ 777","新品、未使用","Cloud nine☆","https://www.mercari.com/jp/u/627974762/","送料込み(出品者負担)","普通郵便(定形、定形外)","1~2日で発送",
"1","m38149071268","ベビー・キッズ","ベビー服(男の子用)  ~95cm","トップス","2333","¥ 2,333","新品、未使用","muーmu☺︎プロフ必読","https://www.mercari.com/jp/u/642943624/","送料込み(出品者負担)","未定","4~7日で発送",
